ID  объявления,Тип,area,Возможное назначение,Класс,metro,address,Здание,Этаж,"Высота потолков, м",Сетка колон,Цена,Тип аренды,Телефоны,Описание,Планировка,Вход,Лифт,Ворота,Ссылка на объявление,price,street,house,house_num,house_corp,house_str,str,corp,neighborhood,geo_adress,Lat,Long,time_to_metro,time_to_metro_for_circle
205915663,Аренда помещения свободного назначения,755.4,"Ателье одежды, Бытовая техника, Шоурум, Швейный цех, Выставка, Фитнес, Детский клуб, Одежда, Фотостудия, Спортзал, Йога, Типография, Зал, Бильярдная, Боулинг, Обувь, Склад, Бытовые услуги, Коммерция, Зоомагазин, Зоотовары, Малое производство, Товары для дома, Свободное назначение",,м. Владыкино (13 мин пешком),"Сигнальный проезд, 3С1","Офисно-складской комплекс, в Сигнальном проезде, 3с1, Действующее",2/4,5.48,,"437503 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, Обеспечительный платеж 439643, НДС включен","Прямая аренда, Длительный, мин 11 мес, Арендые каникулы",+79836665951,"Приглашает владельцев малого и среднего бизнеса рассмотреть предложение по аренде склада в Отрадном. Мы предлагаем отапливаемое хозяйственное помещение, площадью 755,4 кв.м , оснащенный подъемниками и грузовыми лифтами, подойдет под интернет магазин-склад-шоурум. Стоимость аренды складов у нас более чем демократичная, а для новых партнеров в течение первых 3-х месяцев мы предлагаем еще более низкие цены. Прямая аренда собственник. Арендные каникулы предоставляются. В ставку входят ; услуги по обеспечению Объекта водоснабжением, центральным отоплением, канализацией, вывозу ТБО, электроэнергией, согласно показаниям счетчиков и по тарифам соответствующих снабжающих организаций), услуг по организации внутренней охраны, а также иных необходимых для эксплуатации Объекта услуг, НДС
Административно-складской комплекс расположен в г. Москве на территории Северо-Восточного Административного Округа, район Отрадное, первая линия ЖК Поколение.
Транспортная доступность:
Дмитровское шоссе  700 м;
Алт ..., 10 фото",,отдельный со двора,"Грузовой (2), грузоподъемность - 4",,https://www.cian.ru/rent/commercial/205915663,437503.0,Сигнальный проезд,3 с1,3, 3,1,1,0,Бескудниковский,"3 с1, Сигнальный проезд, Верхние Лихоборы, Бескудниковский район, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 127106, Россия",55.8494451,37.57646018960128,13,5
230431228,Аренда помещения свободного назначения,177.4,"Свободное назначение, Офис, Клиентский офис, Склад, Торговая площадь, Бытовые услуги, Ресторан, Стоматология, Фотостудия, Автозапчасти, Автосалон, Бытовая техника, Детские товары, Зоотовары, Косметология, Торговля, Товары для дома, Торговое, Производство, Продукты, Малое производство, Представительство, Частная практика, Спортзал, Спортивный зал, Аптека, Выставка, Пункт выдачи, Готовый бизнес, Зоомагазин, Йога, Интернет магазин, Галерея, Типография, Услуги, Студия танцев, Мастерская, Ломбард, Стройматериалы, Химчистка",,м. Дмитровская (12 мин пешком),"Складочная улица, 1С10","Бизнес-центр, на ул. Складочная, 1с10, Действующее",1/2,4.7,,"259004 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, Обеспечительный платеж 250000, УСН","Прямая аренда, Длительный, мин 12 мес, Арендые каникулы",+79816663449,"Аренда помещения свободного назначения в здании расположенном на пересечении улиц Складочная и Новодмитровская. Расположенном между новыми жилыми районами ""Шереметьевский"" и ""Савеловский сити"". Рядом бизнесцентры ""Станколит"", ""Гульден"", ""Молодая гвардия"", дизайн-завод Флакон, артплощадка ""Хлебозавод"", Пешая доступность от метро Савёловская, Дмитровская (12 мин). Прилегающая территория перед помещением 200м2 предоставляется арендатору безвозмездно. Прямой вход и заезд с улицы. Рассматриваем варианты ремонта или перепрофилирования помещения за наш счет., 4 фото",,отдельный с улицы,,,https://www.cian.ru/rent/commercial/230431228,259004.0,Складочная улица,1 с1,1, 1,10,1,0,Бутырский,"1 с1, Складочная улица, Бутырский, Бутырский район, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 127474, Россия",55.80007,37.5960198,12,5
215234277,Аренда помещения свободного назначения,203.9,"Офис, Клиентский офис, Шоурум, Салон красоты, Spa салон, Массажный салон, Салон связи, Салон, Тату салон, Детский клуб, Клуб, Спортивный зал, Фитнес, фитне",,м. Ленинский проспект (0 мин пешком),"Ленинский проспект, 37А",Действующее,1/8,5.04,,"350012 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, Обеспечительный платеж 350000, УСН","Прямая аренда, Длительный, мин 11 мес, Арендые каникулы",+79011297921,"Аренда 2-х уровневого помещения: первый этаж -71,2 м2, антресоль -132,7 м2. 
Отдельный вход с улицы
Рекламная вывеска
В наличии все инженерные коммуникации
Качественный ремонт в стиле лофт
Оптимально подходит для развивающих центров, образовательных и спортивных занятий, а также под офисы и шоу-румы. 
Материал стен- кирпич
Железобетонные перекрытия
Выгодная локация 
Просторные помещения, прямоугольная планировка. 
Шаговая доступность от станции метро Ленинский проспект, МЦК Площадь Гагарина 
Напротив здания расположен паркинг. 
Плотное окружение офисами, в шаговой доступности находится 10 бизнес-центров.  
Аренда от собственника. Подробная информация по телефону, звоните!, 6 фото",,отдельный со двора,,,https://www.cian.ru/rent/commercial/215234277,350012.0,Ленинский проспект, 37а,37, 37а, 37а,0,0,Донской,"Новый Арт Театр, Ленинский проспект, Донской район, Юго-Западный административный округ, Москва, Центральный федеральный округ, 119334, Россия",55.7085835,37.5864832,0,17
228964956,Аренда помещения свободного назначения,111.0,"Банк, Парикмахерская, Салон красоты, Кафе/ресторан, Ателье одежды, Кондитерская, Бытовые услуги, Спортзал, Медицинский центр, Офис, Другое, Аптека, Продукты, Ресторан, Магазин, Стоматология, Фотостудия, Spa салон, Автозапчасти, Антикафе, Бильярдная, Детские товары, Детский клуб, Детский магазин, Зоомагазин, Зоотовары, Зубная поликлиника, Интернет магазин, Квест, Клиентский офис, Клиника, Косметика, Косметология, Кофейня, Кулинария, Малое производство, Массажный салон, Нотариальная контора, Пиццерия, Пункт выдачи, Свободное назначение, Стрит ритейл, Стройматериалы, Товары для дома, Торговая площадь, Торговое, Услуги, Учебный центр, Частная практика, Швейный цех",,м. Новые Черемушки (20 мин пешком),"Ленинский проспект, 91К4",,1/16,2.9,,"200000 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, Обеспечительный платеж 200000, УСН","Прямая аренда, Длительный, Арендые каникулы","+79011297525, +79816663630","Сдается площадь в густонаселенном жилом районе на юго-западе Москвы В помещении подведены все коммуникации, возможно к любой точке подвести воду и канализацию Мощность электричества 60кВт Без оплатная парковка
                        
                            Пестовский Андрей Андреевич, 7 фото",,отдельный с улицы,,,https://www.cian.ru/rent/commercial/228964956,200000.0,Ленинский проспект,91 к1,91,4,4,0,1,Обручевский,"Ленинский проспект, Обручевский, Обручевский район, Юго-Западный административный округ, Москва, Центральный федеральный округ, 119421, Россия",55.6700415,37.5190723,20,3
230206697,Аренда помещения свободного назначения,210.0,"Банк, Бар, Парикмахерская, Салон красоты, Кафе/ресторан, Ателье одежды, Кондитерская, Бытовые услуги, Выставка, Фитнес, Цветы, Спортзал, Зал, Кальянная, Медицинский центр, Офис, Другое, Ресторан, Школа, Сервис, Магазин, Шоурум, Стоматология, Фотостудия, Коммерция, Мастерская, Spa салон, Автозапчасти, Антикафе, Букмекерская контора, Бутик, Буфет, Галерея, Детский магазин, Детский центр, Зоомагазин, Зоотовары, Зубная поликлиника, Интернет магазин, Клиентский офис, Клиника, Косметика, Косметология, Маникюр, Массажный салон, Мебель, Одежда, Оптика, Парфюмерия, Пиццерия, Посуда, Представительство, Пункт выдачи, Рабочeе место, Салон, Салон связи, Свободное назначение, Спортивный зал, Студия танцев, Сувениры, Сумки, Торговая площадь, Торговля, Торговое, Торговый комплекс, Турагенство, Услуги, Учебный центр, Фото студия, Частная практика, Швейный цех, Ювелирный",,м. Таганская (6 мин пешком),"Народная улица, 20С1","Торгово-офисный комплекс, на ул. Народная, 20с1, Действующее",1/2,3.2,,"400000 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, Обеспечительный платеж 400000, НДС включен","Прямая аренда, Длительный, мин 11 мес, Арендые каникулы","+79836661572, +79816663630","БЕЗ КОМИССИИ! МЕТРО В ШАГОВОЙ ДОСТУПНОСТИ!!!Сдаётся помещение 210 кв.м на первом этаже двухэтажного особняка свободного назначения. Возможность работать круглосуточно. Подойдет по любой вид деятельности, высокий автомобильный и пешеходный трафик. Раннее там располагался салон красоты, хороший ремонт в помещении. Звоните в любое удобное для вас время.
                        
                            Джафаров Руслан Расимович, Помещение занято, 11 фото",,общий с улицы,,,https://www.cian.ru/rent/commercial/230206697,400000.0,Народная улица,20 с1,20, 20,1,1,0,Таганский,"20 с1, Народная улица, Швивая горка, Кошельная слобода, Таганский район, Центральный административный округ, Москва, Центральный федеральный округ, 115172, Россия",55.7369283,37.649257150000004,6,8
229477040,Аренда помещения свободного назначения,777.0,"Свободное назначение, Торговая площадь, Склад, Производство, Банк, Кафе/ресторан, Спортзал, Медицинский центр, Детский магазин, Галерея, Офис, Магазин, Шоурум",B,м. Улица Академика Янгеля (7 мин пешком),"Россошанский проезд, 3","Торгово-развлекательный центр, Прага, Действующее, Районный",2/3,4.5,,"582750 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, УСН","Прямая аренда, Длительный, мин 11 мес, Арендые каникулы",+79836662710,"Сдам помещение в ТЦ Прага. 777 кв.м. на 2 этаже. Есть возможность обустроить отдельный грузовой лифт, свободная планировка. Арендные каникулы. Условия сделки обсуждаются. Помещение готово к въезду. Прямая аренда от собственника, 5 фото",,,"Лифт (2), Эскалатор (15)",,https://www.cian.ru/rent/commercial/229477040,582750.0,Россошанский проезд, 3,3, 3, 3,0,0,Чертаново Южное,"3, Россошанский проезд, район Чертаново Южное, Южный административный округ, Москва, Центральный федеральный округ, 117535, Россия",55.6009661,37.6090035,7,8
228964991,Аренда помещения свободного назначения,167.0,"Салон красоты, Кафе/ресторан, Фитнес, Медицинский центр, Офис, Общепит, Ресторан, Магазин, Шоурум, Стоматология, Фотостудия, Spa салон, Бильярдная, Галерея, Детские товары, Детский клуб, Детский магазин, Зубная поликлиника, Косметика, Косметология, Нотариальная контора, Торговая площадь",,м. Белорусская (5 мин пешком),"Большая Грузинская улица, 57С1",,1/8,3.3,,"790000 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, Обеспечительный платеж 790000, УСН","Прямая аренда, Длительный, Арендые каникулы","+79011297525, +79816663630","1. Первая линия  2. Два отдельных входа 3. Вода и канализация, все коммуникации есть в помещении 4. Мощность электричества 30 кВт 5. Большие витринные окна на две улицы Большая Грузинская и Грузинский переулок 6. Размещение вывесок на фасаде на две улицы Большая Грузинская и Грузинский переулок
                        
                            Пестовский Андрей Андреевич, 3 фото",,отдельный с улицы,,,https://www.cian.ru/rent/commercial/228964991,790000.0,Большая Грузинская улица,57 с1,57, 57,1,1,0,Пресненский,"57 с1, Большая Грузинская улица, Кудрино, Пресненский район, Центральный административный округ, Москва, Центральный федеральный округ, 125047, Россия",55.771430949999996,37.5830683973296,5,12
202722813,Аренда помещения свободного назначения,221.0,"Бар, Кафе/ресторан, Ателье одежды, Клуб, Кондитерская, Бытовые услуги, Цветы, Фрукты, Цех, Спортзал, Зал, Хостел, Гостиница, Офис, Сауна, Шоурум, Продукты, Магазин, Автозапчасти, Мастерская, Готовый бизнес, Интернет магазин, Буфет, Антикафе, Бильярдная, Фотостудия, Боулинг, Детские товары, Швейный цех, Частная практика, Химчистка, Фото студия, Учебный центр, Турагенство, Торговое, Торговля, Торговая площадь, Товары для дома, ТНП, Типография, Тату салон, Сумки, Свободное назначение, Стрит ритейл, Студия танцев, Столовая, Склад, Услуги, Стройматериалы, Салон, Пункт выдачи, Представительство, Производство, Обувь, Пиццерия, Одежда, Мини-отель, Массажный салон, Малое производство, Косметология, Клиентский офис, Зоомагазин, Зоотовары, Йога",,м. Черкизовская (10 мин пешком),"Щелковское шоссе, 9",,-1/9,2.6,,"150000 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, Обеспечительный платеж 300000, УСН","Прямая аренда, Длительный, мин 11 мес",+79011297121,"Собственник! Агентам вознаграждение! Помещение свободного назначения с хорошим ремонтом и собственным с/узлом, первая линия Щелковского шоссе, 10 мин.пешком от м. Черкизовская или Локомотив. Высокий трафик. Возможно деление на площади меньшего размера. Расположено на -1 этаже 1-этажной пристройки к жилому дому. Отдельный вход, бесплатная парковка, прямая аренда от собственника. Доступ 7/24.
Возможные виды использования помещения: букмекерская контора, офис, ателье одежды, бытовые услуги, магазин, шоурум, фотостудия, мастерская, зоотовары, зоомагазин, интернет магазин, клиентский офис, косметика, косметология, маникюр, массажный салон, малое производство, одежда, представительство, пункт выдачи, тату салон, салон, свободное назначение, тнп, товары для дома, фото студия, швейный цех, электронные сигареты, химчистка, учебный центр, турагенство, услуги, торговля и много другое., 10 фото",,общий с улицы,,,https://www.cian.ru/rent/commercial/202722813,150000.0,Щёлковское шоссе, 9,9, 9, 9,0,0,Гольяново,"9, Щёлковское шоссе, Калошино, район Гольяново, Восточный административный округ, Москва, Центральный федеральный округ, 105122, Россия",55.805674350000004,37.75895529483428,10,8
222815733,Аренда помещения свободного назначения,139.2,"Торговая площадь, Цветы, Фитнес, Школа, Спортзал, Шоурум, Фотостудия, Интернет магазин, Йога, Квест, Фото студия, Офис",B,м. Электрозаводская (8 мин пешком),"Малая Семеновская улица, 9С2","Бизнес-центр, На Семёновской (9с2), Действующее",1/1,,,"174000 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, НДС включен","Прямая аренда, Длительный, мин 11 мес",+79836660461,"ВНИМАНИЕ, АКЦИЯ! ОТДЕЛЬНО СТОЯЩЕЕ СТРОЕНИЕ под офис или свободного назначения. Изолированное, отдельно стоящее на территории БЦ строение. Доступ через КПП, Площадь свободного назначения (услуги, обучение, студии, фитнес, showroom, частные практики и т.д.) Кабинетная планировка (возможна перепланировка), стандартная отделка, кондиционирование. Мокрая точка, мощность от 35 кВт. Юридический адрес предоставляется. АРЕНДА ОТ СОБСТВЕННИКА!  Бизнес-центр класса B. 5 мин. от метро Электрозаводская. Высокая транспортная доступность, охраняемая территория, пропускная система, парковка, развитая инфраструктура., 20 фото",,общий со двора,,,https://www.cian.ru/rent/commercial/222815733,174000.0,Малая Семёновская улица,9 с1,9, 9,2,1,0,Преображенское,"9 с1, Малая Семёновская улица, район Преображенское, Восточный административный округ, Москва, Центральный федеральный округ, 107023, Россия",55.7849192,37.70861144066279,8,8
212433907,Аренда помещения свободного назначения,108.8,"Салон красоты, Ателье одежды, Цветы, Магазин, Spa салон, Бижутерия, Бутик, Детский магазин, Детский центр, Зоомагазин, Зоотовары, Пиццерия, Сувениры, Сумки, Товары для дома, Ювелирный, Фитнес, Клиентский офис, Офис, Бар, Детский клуб, Клуб, Ночной клуб",,м. Третьяковская (9 мин пешком),"Пятницкая улица, 54С1",Действующее,1/4,,,"200002 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес, Обеспечительный платеж 200000, УСН","Прямая аренда, Длительный, мин 11 мес, Арендые каникулы",+79011297921,"Помещение свободного или торгового назначения, расположенное  на одной из самых популярных улиц Москвы
Первый этаж 4-х этажного жилого дома (ВХОД СО ДВОРА) 
Материал стен- кирпич 
Вход-1 отдельный со двора
Высокая проходимость. 
Витринное остекление 
Сверхинтенсивный пешеходный трафик
Коммуникации центральные
Свободная планировка
Рядом большая городская парковка
Сложившееся торговое окружение
Вдоль улицы расположены кафе, рестораны, магазины товаров повседневного спроса
Поблизости находятся многочисленные достопримечательности  Третьяковская галерея, музей Л. Н. Толстого, Кадашевская набережная

В пределах пешей доступности (до 700 м) ст.м.: Добрынинская, Полянка, Новокузнецкая, Павелецкая.
Выгодные условия! Звоните, 8 фото",,отдельный со двора,,,https://www.cian.ru/rent/commercial/212433907,200002.0,Пятницкая улица,54 с1,54, 54,1,1,0,Замоскворечье,"54 с1, Пятницкая улица, Садовники, район Замоскворечье, Центральный административный округ, Москва, Центральный федеральный округ, 115184, Россия",55.73419835,37.62740719213241,9,8
